Level,Name,Value,Description
0,"CPU","228 Registers","CPU Registers"
 1,"Core (ABI)","33 Registers","Core integer registers"
 1,"Core (Numerical)","33 Registers","Core integer registers"
 1,"Machine Information Registers","4 Registers","Machine Information Registers"
 1,"Machine Trap Setup","7 Registers","Machine Trap Setup Registers"
  2,"mstatus","0x00001880 (usmusMsmsmttts)","Machine status register"
  2,"misa","0x40001100 (acdefgIMnqsux)","Machine ISA register"
  2,"medeleg",0x00000000,"Machine exception delegetion register"
  2,"mideleg",0x00000000,"Machine interrupt delegation register"
  2,"mie","0x00000880 (usmusMusM)","Machine interrupt enable register"
  2,"mtvec",0x00000081,"Machine trap vector base address register"
  2,"mcounteren",0x00000000,"Machine counter enable register"
 1,"Machine Trap Handling","5 Registers","Machine Trap Handling Registers"
  2,"mscratch",0x00000000,"Machine scratch register"
  2,"mepc",0x10000000,"Machine exception program counter"
  2,"mcause","0x00000002 (c)","Machine trap cause register"
  2,"mtval",0x00000000,"Machine trap value register"
  2,"mip","0x00000080 (usmusMusm)","Machine interrupt pending register"
 1,"Machine Protection and Translation","20 Registers","Machine Protection and translation registers"
 1,"Machine Counters/Timers","62 Registers","Machine counter and timer registers"
 1,"User Counters/Timers","64 Registers","User counter and timer registers"
